Time,Set Temperature,Measured Temperature,On Time
2510,40,59,0.0
2523,40,53,0.0
2536,40,53,0.0
2548,40,53,0.0
2561,40,53,0.0
2574,40,53,0.0
2597,40,53,0.0
2622,40,53,0.0
2646,40,53,0.0
2669,40,53,0.0
2694,40,53,0.0
2717,40,53,0.0
2742,40,54,0.0
2765,40,53,0.0
2789,40,53,0.0
2813,40,54,0.0
2837,40,53,0.0
2861,40,53,0.0
2885,40,53,0.0
2909,40,54,0.0
2932,40,53,0.0
2957,40,53,0.0
2980,40,53,0.0
3004,40,53,0.0
3028,40,53,0.0
3052,40,53,0.0
3077,40,53,0.0
3100,40,53,0.0
3124,40,53,0.0
3148,40,53,0.0
3172,40,53,0.0
3195,40,53,0.0
3220,40,53,0.0
3244,40,53,0.0
3267,40,53,0.0
3292,40,53,0.0
3315,40,53,0.0
3340,40,53,0.0
3363,40,53,0.0
3387,40,53,0.0
3411,40,53,0.0
3435,40,53,0.0
3459,40,53,0.0
3483,25,53,0.0
3507,25,53,0.0
3530,25,53,0.0
3555,25,53,0.0
3578,25,53,0.0
3602,25,53,0.0
3627,25,53,0.0
3650,25,53,0.0
3675,25,53,0.0
3698,25,53,0.0
3722,25,53,0.0
3746,25,53,0.0
3770,25,53,0.0
3793,25,53,0.0
3818,25,53,0.0
3842,25,53,0.0
3865,25,53,0.0
3890,25,53,0.0
3913,25,53,0.0
3938,25,53,0.0
3961,25,53,0.0
3985,25,53,0.0
4009,25,53,0.0
4033,25,53,0.0
4057,25,53,0.0
4081,25,53,0.0
4105,25,53,0.0
4128,25,53,0.0
4153,25,53,0.0
4176,25,53,0.0
4200,25,53,0.0
4225,25,53,0.0
4248,25,53,0.0
4273,25,53,0.0
4296,25,53,0.0
4320,25,53,0.0
4344,25,53,0.0
4368,25,53,0.0
4391,25,53,0.0
4416,25,53,0.0
4440,25,53,0.0
4463,26,53,0.0
4488,26,53,0.0
4511,26,53,0.0
4536,26,53,0.0
4559,26,53,0.0
4583,26,53,0.0
4608,26,53,0.0
4631,26,53,0.0
4655,26,53,0.0
4679,26,53,0.0
4703,26,53,0.0
4726,26,53,0.0
4751,26,53,0.0
4774,26,53,0.0
4798,26,53,0.0
4823,26,53,0.0
4846,26,53,0.0
4870,26,53,0.0
4894,26,53,0.0
4918,26,53,0.0
4942,26,53,0.0
4966,26,53,0.0
4989,26,53,0.0
5014,26,53,0.0
5038,26,53,0.0
5061,26,53,0.0
5086,26,53,0.0
5109,26,53,0.0
5134,26,53,0.0
5157,26,53,0.0
5181,26,53,0.0
5206,26,53,0.0
5229,26,53,0.0
5253,26,53,0.0
5277,26,53,0.0
5301,26,53,0.0
5324,26,53,0.0
5349,26,53,0.0
5372,26,53,0.0
5396,26,53,0.0
5421,26,53,0.0
5444,26,53,0.0
5468,27,53,0.0
5492,27,53,0.0
5516,27,53,0.0
5540,27,53,0.0
5564,27,53,0.0
5587,27,52,0.0
5612,27,53,0.0
5636,27,53,0.0
5659,27,53,0.0
5684,27,53,0.0
5707,27,52,0.0
5732,27,53,0.0
5755,27,53,0.0
5779,27,53,0.0
5804,27,53,0.0
5827,27,52,0.0
5851,27,53,0.0
5875,27,52,0.0
5899,27,52,0.0
5922,27,53,0.0
5947,27,53,0.0
5970,27,52,0.0
5994,27,53,0.0
6019,27,53,0.0
6042,27,53,0.0
6066,27,53,0.0
6090,27,52,0.0
6114,27,53,0.0
6138,27,53,0.0
6162,27,53,0.0
6185,27,53,0.0
6210,27,53,0.0
6234,27,53,0.0
6257,27,52,0.0
6282,27,53,0.0
6305,27,53,0.0
6329,27,53,0.0
6353,27,53,0.0
6377,27,53,0.0
6401,27,53,0.0
6425,27,53,0.0
6449,27,53,0.0
6473,28,53,0.0
6497,28,52,0.0
6520,28,53,0.0
6545,28,52,0.0
6568,28,53,0.0
6592,28,53,0.0
6617,28,53,0.0
6640,28,53,0.0
6664,28,53,0.0
6688,28,52,0.0
6712,28,52,0.0
6736,28,53,0.0
6760,28,53,0.0
6784,28,53,0.0
6808,28,53,0.0
6832,28,52,0.0
6855,28,53,0.0
6880,28,53,0.0
6903,28,52,0.0
6927,28,53,0.0
6951,28,52,0.0
6975,28,53,0.0
6999,28,52,0.0
7023,28,52,0.0
7047,28,53,0.0
7071,28,52,0.0
7095,28,53,0.0
7118,28,53,0.0
7143,28,53,0.0
7166,28,52,0.0
7190,28,52,0.0
7215,28,52,0.0
7238,28,52,0.0
7262,28,52,0.0
7286,28,53,0.0
7310,28,52,0.0
7334,28,53,0.0
7358,28,52,0.0
7382,28,52,0.0
7406,28,53,0.0
7430,28,52,0.0
7453,28,52,0.0
7478,29,52,0.0
7501,29,53,0.0
7525,29,53,0.0
7549,29,53,0.0
7573,29,52,0.0
7597,29,52,0.0
7621,29,52,0.0
7645,29,52,0.0
7669,29,53,0.0
7693,29,52,0.0
7716,29,53,0.0
7741,29,52,0.0
7764,29,53,0.0
7788,29,53,0.0
7813,29,52,0.0
7836,29,53,0.0
7860,29,53,0.0
7884,29,52,0.0
7908,29,52,0.0
7931,29,52,0.0
7956,29,52,0.0
7980,29,53,0.0
8004,29,52,0.0
8028,29,52,0.0
8051,29,52,0.0
8076,29,52,0.0
8099,29,52,0.0
8123,29,53,0.0
8147,29,53,0.0
8171,29,52,0.0
8195,29,52,0.0
8219,29,52,0.0
8243,29,52,0.0
8267,29,52,0.0
8291,29,52,0.0
8314,29,52,0.0
8339,29,52,0.0
8363,29,51,0.0
8386,29,52,0.0
8411,29,52,0.0
8434,29,52,0.0
8458,30,52,0.0
8482,30,52,0.0
8506,30,52,0.0
8529,30,52,0.0
8554,30,52,0.0
8578,30,52,0.0
8602,30,53,0.0
8626,30,52,0.0
8649,30,53,0.0
8674,30,52,0.0
8697,30,52,0.0
8721,30,53,0.0
8745,30,52,0.0
8769,30,52,0.0
8793,30,52,0.0
8817,30,52,0.0
8841,30,52,0.0
8865,30,52,0.0
8889,30,53,0.0
8912,30,52,0.0
8937,30,52,0.0
8961,30,52,0.0
8984,30,52,0.0
9009,30,53,0.0
9032,30,52,0.0
9056,30,52,0.0
9080,30,51,0.0
9104,30,52,0.0
9127,30,52,0.0
9152,30,52,0.0
9176,30,53,0.0
9200,30,52,0.0
9224,30,52,0.0
9247,30,52,0.0
9272,30,52,0.0
9295,30,51,0.0
9319,30,52,0.0
9344,30,52,0.0
9367,30,53,0.0
9391,30,53,0.0
9415,30,52,0.0
9439,30,51,0.0
9462,31,53,0.0
9487,31,51,0.0
9510,31,52,0.0
9535,31,52,0.0
9559,31,52,0.0
9582,31,52,0.0
9607,31,52,0.0
9630,31,52,0.0
9654,31,52,0.0
9678,31,52,0.0
9702,31,52,0.0
9725,31,52,0.0
9750,31,51,0.0
9774,31,52,0.0
9798,31,52,0.0
9822,31,52,0.0
9845,31,52,0.0
9870,31,52,0.0
9893,31,52,0.0
9917,31,52,0.0
9942,31,52,0.0
9965,31,52,0.0
9989,31,52,0.0
10013,31,52,0.0
10038,31,52,0.0
10063,31,52,0.0
10088,31,52,0.0
10113,31,52,0.0
10138,31,52,0.0
10163,31,51,0.0
10187,31,52,0.0
10213,31,52,0.0
10237,31,52,0.0
10263,31,52,0.0
10288,31,52,0.0
10312,31,52,0.0
10338,31,52,0.0
10362,31,52,0.0
10387,31,52,0.0
10413,31,51,0.0
10437,31,51,0.0
10463,32,52,0.0
10487,32,52,0.0
10512,32,51,0.0
10537,32,51,0.0
10562,32,52,0.0
10587,32,52,0.0
10612,32,52,0.0
10637,32,52,0.0
10662,32,52,0.0
10687,32,52,0.0
10712,32,52,0.0
10737,32,52,0.0
10762,32,52,0.0
10786,32,52,0.0
10812,32,51,0.0
10836,32,51,0.0
10862,32,52,0.0
10887,32,52,0.0
10911,32,51,0.0
10937,32,51,0.0
10961,32,51,0.0
10986,32,52,0.0
11012,32,52,0.0
11036,32,52,0.0
11062,32,52,0.0
11086,32,52,0.0
11111,32,51,0.0
11137,32,52,0.0
11161,32,52,0.0
11186,32,51,0.0
11211,32,51,0.0
11236,32,52,0.0
11261,32,51,0.0
11286,32,52,0.0
11311,32,52,0.0
11336,32,51,0.0
11361,32,52,0.0
11385,32,51,0.0
11411,32,52,0.0
11436,32,52,0.0
11461,33,52,0.0
11486,33,52,0.0
11510,33,52,0.0
11536,33,51,0.0
11560,33,51,0.0
11585,33,52,0.0
11611,33,51,0.0
11635,33,51,0.0
11661,33,52,0.0
11685,33,52,0.0
11710,33,52,0.0
11736,33,51,0.0
11760,33,51,0.0
11785,33,51,0.0
11810,33,51,0.0
11835,33,51,0.0
11860,33,51,0.0
11885,33,51,0.0
11910,33,53,0.0
11935,33,51,0.0
11960,33,52,0.0
11984,33,52,0.0
12010,33,52,0.0
12035,33,52,0.0
12060,33,51,0.0
12085,33,51,0.0
12109,33,52,0.0
12135,33,51,0.0
12160,33,51,0.0
12184,33,51,0.0
12210,33,51,0.0
12234,33,52,0.0
12260,33,51,0.0
12284,33,52,0.0
12309,33,51,0.0
12335,33,52,0.0
12359,33,52,0.0
12384,33,51,0.0
12409,33,51,0.0
12434,33,51,0.0
12460,34,52,0.0
12484,34,51,0.0
12509,34,51,0.0
12534,34,51,0.0
12559,34,51,0.0
12583,34,51,0.0
12609,34,51,0.0
12634,34,51,0.0
12659,34,51,0.0
12684,34,51,0.0
12708,34,51,0.0
12734,34,51,0.0
12759,34,51,0.0
12783,34,51,0.0
12809,34,51,0.0
12833,34,52,0.0
12859,34,51,0.0
12883,34,51,0.0
12908,34,51,0.0
12934,34,51,0.0
12958,34,51,0.0
12983,34,52,0.0
13008,34,51,0.0
13033,34,51,0.0
13059,34,51,0.0
13083,34,52,0.0
13108,34,51,0.0
13133,34,51,0.0
13158,34,51,0.0
13182,34,51,0.0
13208,34,51,0.0
13233,34,51,0.0
13258,34,51,0.0
13283,34,52,0.0
13307,34,52,0.0
13333,34,51,0.0
13358,34,51,0.0
13382,34,52,0.0
13408,34,51,0.0
13432,34,51,0.0
13458,35,52,0.0
13483,35,52,0.0
13507,35,51,0.0
13533,35,51,0.0
13557,35,50,0.0
13582,35,51,0.0
13607,35,51,0.0
13632,35,51,0.0
13658,35,51,0.0
13682,35,51,0.0
13707,35,51,0.0
13732,35,50,0.0
13757,35,51,0.0
13782,35,51,0.0
13807,35,52,0.0
13832,35,51,0.0
13857,35,51,0.0
13882,35,51,0.0
13906,35,51,0.0
13932,35,51,0.0
13957,35,50,0.0
13981,35,51,0.0
14007,35,51,0.0
14031,35,51,0.0
14057,35,51,0.0
14082,35,50,0.0
14106,35,51,0.0
14132,35,52,0.0
14156,35,51,0.0
14181,35,51,0.0
14206,35,51,0.0
14231,35,51,0.0
14257,35,51,0.0
14281,35,51,0.0
14306,35,51,0.0
14331,35,51,0.0
14356,35,51,0.0
14381,35,50,0.0
14406,35,50,0.0
14431,35,51,0.0
14456,36,52,0.0
14481,36,51,0.0
14505,36,51,0.0
14531,36,51,0.0
14556,36,52,0.0
14580,36,51,0.0
14606,36,51,0.0
14630,36,51,0.0
14656,36,50,0.0
14681,36,51,0.0
14705,36,51,0.0
14731,36,51,0.0
14755,36,51,0.0
14780,36,51,0.0
14806,36,51,0.0
14830,36,50,0.0
14856,36,51,0.0
14880,36,51,0.0
14905,36,51,0.0
14930,36,51,0.0
14955,36,51,0.0
14980,36,51,0.0
15005,36,51,0.0
15030,36,51,0.0
15055,36,50,0.0
15080,36,51,0.0
15105,36,50,0.0
15130,36,51,0.0
15155,36,51,0.0
15179,36,51,0.0
15205,36,51,0.0
15229,36,51,0.0
15255,36,51,0.0
15280,36,51,0.0
15304,36,51,0.0
15330,36,51,0.0
15354,36,51,0.0
15379,36,50,0.0
15405,36,51,0.0
15429,36,51,0.0
15455,37,51,0.0
15479,37,51,0.0
15504,37,51,0.0
15529,37,51,0.0
15554,37,51,0.0
15579,37,51,0.0
15604,37,50,0.0
15629,37,51,0.0
15654,37,51,0.0
15679,37,51,0.0
15704,37,50,0.0
15729,37,50,0.0
15754,37,51,0.0
15778,37,51,0.0
15804,37,50,0.0
15828,37,51,0.0
15854,37,51,0.0
15879,37,51,0.0
15903,37,51,0.0
15929,37,51,0.0
15953,37,51,0.0
15978,37,51,0.0
16004,37,50,0.0
16028,37,51,0.0
16054,37,51,0.0
16078,37,51,0.0
16103,37,50,0.0
16129,37,50,0.0
16153,37,51,0.0
16178,37,51,0.0
16203,37,51,0.0
16228,37,51,0.0
16253,37,51,0.0
16278,37,50,0.0
16303,37,50,0.0
16328,37,51,0.0
16353,37,50,0.0
16377,37,51,0.0
16403,37,50,0.0
16428,37,50,0.0
16453,37,51,0.0
16478,38,51,0.0
16502,38,50,0.0
16528,38,51,0.0
16552,38,51,0.0
16577,38,51,0.0
16603,38,50,0.0
16627,38,50,0.0
16653,38,51,0.0
16677,38,51,0.0
16702,38,50,0.0
16728,38,51,0.0
16752,38,50,0.0
16777,38,50,0.0
16802,38,50,0.0
16827,38,51,0.0
16852,38,50,0.0
16877,38,50,0.0
16902,38,51,0.0
16927,38,50,0.0
16952,38,51,0.0
16976,38,50,0.0
17002,38,50,0.0
17027,38,51,0.0
17052,38,50,0.0
17077,38,51,0.0
17101,38,50,0.0
