Time,Temperature
0,40
501,40
1002,40
1502,40
2002,40
2503,40
3004,40
3504,40
4005,40
4506,40
5005,40
5506,40
6007,40
6508,40
7008,40
7509,40
8009,41
8510,41
9010,41
9511,41
10012,42
10513,42
11012,43
11513,43
12014,43
12514,43
13015,44
13516,44
14016,45
14516,45
15017,46
15518,46
16019,47
16519,47
17019,48
17520,48
18020,48
18521,49
19022,50
19523,50
20022,51
20523,51
21024,51
21525,52
22025,53
22526,53
23026,54
23527,54
24027,55
24528,56
25029,57
25529,57
26029,58
26530,59
27031,59
27531,60
28032,61
28533,62
29033,62
29533,64
30034,65
30535,65
31036,66
31536,67
32036,68
32537,69
33037,70
33538,71
34039,72
34540,73
35039,74
35540,75
36041,76
36542,76
37042,77
37543,78
38043,78
38544,80
39044,81
39545,81
40046,82
40546,83
41046,84
41547,85
42048,86
42548,86
43049,88
43550,89
44050,89
44550,91
45051,92
45552,93
46052,94
46553,95
47053,95
47554,97
48054,98
48555,99
49056,100
49557,101
50056,102
50557,103
51058,104
51559,105
52059,105
52560,106
53061,108
53561,108
54062,109
54562,110
55063,111
55563,112
56064,113
56565,114
57066,115
57566,116
58067,116
58567,118
59068,119
59568,119
60069,120
60570,122
61070,122
61571,123
62072,125
62572,125
63072,127
63573,127
64074,128
64575,130
65075,130
65576,132
66077,133
66577,133
67077,135
67578,135
68079,136
68579,137
69080,138
69581,139
70082,140
70581,141
71082,141
71583,143
72084,144
72584,144
73085,145
73586,146
74087,146
74586,148
75087,149
75588,150
76088,150
76589,152
77090,152
77591,153
78091,154
78592,155
79092,156
79593,157
80093,158
80594,159
81095,160
81596,161
82096,162
82597,163
83097,164
83597,165
84098,165
84599,166
85100,167
85600,168
86101,168
86602,170
87102,171
87602,171
88103,172
88604,173
89105,173
89605,174
90106,175
90607,176
91106,176
91607,178
92108,178
92609,179
93109,180
93610,181
94111,182
94612,182
95111,183
95612,184
96113,185
96614,186
97114,187
97615,187
98116,188
98616,189
99116,190
99617,190
100118,191
100618,192
101119,192
101620,192
102121,193
102621,194
103121,195
103622,195
104123,196
104623,197
105124,198
105625,199
106125,199
106626,200
107127,201
107627,202
108127,202
108628,203
109129,204
109630,205
110130,206
110631,206
111132,206
111632,208
112132,208
112633,209
113134,209
113634,209
114135,210
114636,211
115137,211
115636,212
116137,213
116638,214
117139,214
117639,214
118140,215
118641,215
119142,216
119641,217
120142,218
120643,219
121143,220
121644,220
122145,221
122646,221
123146,222
123646,223
124147,224
124648,224
125148,225
125649,225
126150,226
126651,226
127151,227
127651,228
128152,228
128652,228
129153,229
129654,229
130155,230
130655,230
131156,230
131657,232
132157,232
132657,233
133158,233
133659,233
134160,234
134660,235
135161,235
135662,236
136161,236
136662,237
137163,237
137664,239
138164,239
138665,239
139166,240
139667,240
140166,241
140667,241
141168,241
141668,242
142169,243
142670,244
143171,244
143671,244
144171,245
144672,246
145173,246
145673,247
146174,247
146675,247
147176,247
147676,248
148176,249
148677,250
149177,250
149678,250
150179,250
150680,251
151180,252
151681,252
152181,252
152682,253
153182,253
153683,254
154184,255
154685,255
155185,255
155686,255
156186,256
156686,257
157187,257
157688,258
158189,258
158689,258
159190,258
159691,259
160192,259
160691,260
161192,260
161693,260
162194,261
162694,261
163195,262
163696,262
164196,263
164696,263
165197,263
165698,263
166198,265
166699,265
167200,265
167701,266
168201,266
168701,266
169202,266
169703,267
170203,268
170704,268
171205,269
171705,269
172206,269
172706,270
173207,269
173707,271
174208,271
174709,271
175210,271
175710,271
176211,272
176711,272
177212,273
177712,273
178213,274
178714,274
179214,274
179715,274
180216,275
180716,275
181216,276
181717,276
182218,277
182719,277
183219,277
183720,277
184221,277
184722,278
185221,278
185722,279
186223,279
186723,279
187224,279
187725,280
188226,280
188726,280
189226,281
189727,281
190228,282
190728,282
191229,282
191730,282
192231,283
192731,283
193231,283
193732,284
194232,284
194733,285
195234,285
195735,285
196235,286
196736,286
197236,286
197737,287
198237,287
198738,287
199239,288
199740,288
200240,288
200741,288
201241,290
201741,290
202242,290
202743,290
203244,290
203744,290
204245,291
204746,292
205246,292
205746,291
206247,292
206748,292
207249,293
207749,293
208250,293
208751,293
209251,293
209751,293
210252,294
210753,294
211253,295
211754,295
212255,295
212756,295
213256,296
213756,296
214257,296
214758,296
215258,296
215759,296
216260,297
216760,298
217261,298
217761,298
218262,298
218762,298
219263,298
219764,299
220265,299
220765,299
221266,300
221766,300
222267,301
222767,301
223268,301
223769,301
224269,301
224770,301
225271,302
225771,302
226271,303
226772,303
227273,303
227774,304
228274,304
228775,304
229276,304
229776,304
230276,305
230777,305
231278,306
231778,307
232279,307
232780,307
233281,307
233781,307
234281,308
234782,309
235283,309
235783,309
236284,309
236785,310
237286,310
237786,310
238286,311
238787,312
239287,312
239788,312
240289,312
240790,313
241290,313
241791,314
242291,314
242792,315
243292,315
243793,315
244294,315
244795,315
245295,316
245796,316
246296,317
246796,317
247297,317
247798,317
248299,317
248799,317
249300,318
249801,318
250301,318
250801,319
251302,319
251803,319
252304,319
252804,320
253305,320
253806,320
254306,320
254806,320
255307,320
255808,320
256308,321
256809,321
257310,321
257811,322
258311,322
258811,322
259312,322
259812,322
260313,323
260814,323
261315,323
261815,323
262316,323
262816,324
263317,324
263817,325
264318,325
264819,325
265320,326
265820,326
266321,326
266821,326
267321,326
267822,327
268323,327
268824,327
269324,328
269825,328
270326,328
270826,328
271326,328
271827,329
272328,329
272829,329
273329,330
273830,330
274331,330
274830,330
275331,331
275832,331
276333,331
276833,331
277334,331
277835,331
278336,331
278835,331
279336,331
279837,331
280338,332
280838,333
281339,333
281840,333
282340,333
282841,333
283341,334
283842,334
284342,334
284843,334
285344,334
285845,334
286345,334
286846,335
287346,335
287847,335
288347,335
288848,335
289349,336
289849,336
290350,336
290851,336
291351,336
291851,336
292352,336
292853,337
293354,337
293854,338
294355,338
294856,338
295356,338
295856,339
296357,339
296858,339
297358,339
297859,339
298360,339
298861,339
299360,340
299861,340
300362,341
300863,341
301363,341
301864,341
302365,341
302866,341
303366,341
303866,342
304367,342
304867,342
305368,342
305869,342
306370,342
306870,342
307371,343
307871,343
308372,343
308872,343
309373,343
309874,343
310375,343
310875,344
311376,344
311876,344
312376,345
312877,345
313378,345
313879,345
314379,345
314880,345
315381,346
315881,346
316381,346
316882,347
317383,347
317884,347
318384,347
318885,347
319386,347
319885,347
320386,347
320887,347
321388,347
321888,347
322389,347
322890,347
323391,348
323890,347
324391,348
324892,348
325393,348
325893,348
326394,348
326895,349
327395,349
327895,349
328396,350
328897,350
329397,350
329898,350
