Time,Temperature
0,34
501,34
1002,34
1503,35
2003,34
2503,34
3004,35
3505,35
4005,35
4506,35
5007,35
5507,35
6008,35
6508,35
7009,36
7509,36
8010,36
8511,36
9012,36
9512,37
10013,37
10513,37
11013,38
11514,38
12015,38
12516,38
13016,38
13517,39
14018,39
14519,40
15018,40
15519,40
16020,40
16521,40
17021,41
17522,41
18023,42
18524,42
19023,42
19524,43
20025,43
20525,43
21026,44
21527,44
22028,45
22528,46
23028,46
23529,46
24030,46
24530,46
25031,46
25532,46
26033,47
26533,48
27033,48
27534,48
28034,49
28535,49
29036,50
29537,51
30037,51
30538,52
31038,52
31539,53
32039,54
32540,54
33041,54
33541,55
34042,56
34543,57
35043,57
35543,57
36044,58
36545,58
37046,59
37546,59
38047,60
38548,61
39049,62
39548,62
40049,63
40550,64
41050,64
41551,65
42052,65
42553,65
43053,66
43553,67
44054,67
44555,68
45055,69
45556,70
46057,70
46558,70
47058,72
47558,72
48059,73
48559,73
49060,73
49561,74
50062,75
50562,75
51063,76
51563,76
52064,77
52564,78
53065,78
53566,78
54067,79
54567,80
55068,81
55569,81
56068,81
56569,82
57070,83
57571,83
58071,84
58572,84
59073,85
59574,86
60073,86
60574,86
61075,86
61576,87
62076,88
62577,89
63078,89
63578,89
64078,90
64579,91
65080,91
65580,92
66081,92
66582,93
67083,94
67583,94
68083,95
68584,95
69085,96
69585,96
70086,97
70587,97
71087,97
71588,98
72088,99
72589,99
73089,100
73590,100
74091,101
74592,102
75092,103
75593,103
76094,104
76595,104
77095,105
77596,105
78096,105
78596,105
79097,105
79598,105
80099,105
80599,105
81100,106
81601,106
82102,107
82602,107
83103,107
83604,108
84104,108
84604,108
85105,109
85606,109
86106,110
86607,110
87108,110
87609,111
88109,111
88610,111
89111,112
89612,112
90112,112
90612,113
91113,114
91614,114
92114,114
92615,114
93116,115
93617,115
94117,116
94618,116
95119,116
95619,118
96120,118
96621,119
97121,119
97621,119
98122,119
98623,120
99124,121
99624,121
100125,122
100626,122
101127,122
101627,122
102128,123
102629,124
103129,124
103629,124
104130,125
104631,125
105131,126
105632,126
106133,127
106634,127
107134,127
107635,128
108136,128
108637,128
109137,130
109638,130
110138,130
110638,131
111139,132
111640,132
112141,133
112641,133
113142,133
113643,134
114144,134
114644,135
115145,135
115646,135
116147,136
116646,136
117147,136
117648,137
118148,138
118649,138
119150,138
119651,139
120151,139
120652,140
121153,140
121654,140
122154,141
122654,141
123155,141
123656,142
124156,143
124657,143
125158,144
125658,144
126159,144
126660,144
127161,144
127661,145
128162,145
128663,145
129164,146
129663,146
130164,146
130665,147
131166,147
131666,148
132167,148
132668,148
133169,149
133669,149
134170,149
134671,149
135171,149
135671,150
136172,150
136673,151
137173,151
137674,152
138175,152
138676,152
139176,152
139677,152
140178,153
140679,153
141179,154
141680,154
142180,154
142680,154
143181,155
143682,155
144183,155
144683,156
145184,156
145685,156
146186,157
146686,157
147187,157
147688,157
148188,157
148688,157
149189,158
149690,158
150190,158
150691,159
151192,160
151693,160
152193,160
152694,160
153195,160
153696,160
154196,161
154696,161
155197,161
155698,162
156198,163
156699,163
157200,163
157700,163
158201,163
158702,164
159203,164
159703,165
160204,165
160705,165
161205,165
161705,166
162206,166
162707,166
163208,167
163708,168
164209,168
164710,168
165210,168
165711,169
166212,170
166713,170
167213,171
167713,171
168214,171
168715,171
169215,172
169716,172
170217,173
170718,173
171218,173
171719,173
172220,173
172721,173
173221,174
173721,174
174222,175
174722,175
175223,176
175724,176
176225,176
176725,176
177226,176
177727,177
178228,177
178728,178
179229,178
179730,178
180229,179
180730,179
181231,179
181732,179
182232,180
182733,180
183234,181
183735,181
184235,181
184736,182
185237,182
185738,182
186238,182
186738,182
187239,182
187740,182
188240,183
188741,184
189242,184
189742,184
190243,184
190744,184
191245,184
191745,184
192246,185
192747,185
193247,185
193747,185
194248,186
194749,186
195250,187
195750,187
196251,187
196752,187
197252,187
197753,188
198254,189
198755,189
199255,190
199755,190
200256,190
200757,190
201257,190
201758,191
202259,191
202760,192
203260,192
203761,192
204262,192
204762,192
205263,193
205764,192
206264,192
206764,193
207265,194
207766,193
208267,194
208767,195
209268,195
209769,195
210270,195
210770,195
211271,196
211772,196
212273,196
212772,197
213273,198
213774,198
214274,198
214775,198
215276,198
215777,199
216277,199
216778,199
217279,200
217780,200
218280,201
218781,201
219281,201
219781,201
220282,201
220783,202
221284,202
221784,202
222285,202
222786,203
223287,203
223787,203
224288,203
224789,203
225290,203
225789,203
226290,203
226791,203
227292,203
227792,204
228293,204
228794,204
229294,204
229795,205
230296,205
230797,205
231297,205
231798,205
232298,205
232799,205
233299,206
233800,206
234301,206
234802,206
235302,206
235803,206
236304,207
236804,206
237305,207
237806,207
238306,207
238806,207
239307,207
239808,208
240309,207
240809,208
241310,208
241811,208
242312,209
242812,209
243313,209
243814,209
244314,209
244814,209
245315,209
245816,209
246316,210
246817,210
247318,210
247819,210
248319,210
248820,211
249321,211
249822,211
250322,211
250822,211
251323,211
251823,211
252324,211
252825,211
253326,209
253826,208
254327,206
254828,204
255329,203
255829,201
256330,200
256831,198
257331,197
257831,195
258332,195
258833,193
259333,192
259834,191
260335,190
260836,190
261336,188
261837,187
262338,186
262839,185
263339,184
263839,183
264340,182
264841,182
265341,180
265842,180
266343,179
266844,178
267344,176
267845,175
268346,175
268846,173
269347,173
269847,171
270348,170
270848,168
271349,168
271850,166
272351,165
272851,164
273352,163
273853,162
274354,160
274854,160
275355,159
275856,157
276355,156
276856,154
277357,154
277858,153
278358,152
278859,152
279360,150
279861,149
280361,149
280862,149
281363,147
281864,146
282364,146
282864,145
283365,145
283865,144
284366,144
284867,143
285368,142
285868,142
286369,141
286870,141
287371,141
287871,140
288372,138
288872,138
289373,138
289873,137
290374,136
290875,136
291375,135
291876,135
292377,134
292878,134
293378,133
293879,133
294380,132
294881,132
295380,131
295881,130
296382,130
296883,130
297383,129
297884,129
298385,128
298885,128
299386,127
299887,127
300388,127
300888,127
301389,126
301889,126
302390,125
302890,125
303391,124
303892,124
304393,123
304893,123
305394,122
305895,122
306396,121
306896,121
307397,120
307897,119
308397,119
308898,119
309399,119
309900,119
310400,119
310901,119
311402,119
311903,118
312403,119
312904,119
313405,119
313906,119
314405,119
314906,119
315407,119
315907,118
316408,119
316909,117
317410,118
317910,118
318411,117
318912,118
319413,117
319913,117
320414,116
320914,116
321415,116
321915,116
322416,116
322917,116
323417,115
323918,115
324419,115
324920,115
325420,115
325921,116
326422,115
326922,115
327422,115
327923,115
328424,115
328925,115
329425,115
329926,115
330427,115
330927,114
331428,115
331929,115
332430,114
332930,115
333430,114
333931,114
334432,114
334932,114
335433,114
335934,114
336435,113
336935,113
337436,113
337937,113
338437,113
338938,112
339438,112
339939,111
340439,111
340940,111
341441,111
341942,110
342442,110
342943,109
343444,109
343945,109
344445,108
344946,108
345447,108
345946,108
346447,108
346948,108
347449,108
347949,107
348450,107
348951,107
349452,106
349952,106
350453,106
350954,106
351455,106
351955,106
352455,105
352956,105
353457,106
353957,105
354458,105
354959,105
355459,105
355960,105
356461,105
356962,105
357462,104
357963,104
358463,104
358964,103
359464,103
359965,103
360466,103
360967,103
361467,103
361968,102
362469,102
362969,102
363470,101
363971,101
364472,101
364971,100
365472,100
365973,100
366474,100
366974,100
367475,100
367976,100
368477,100
368977,99
369478,99
369979,99
370478,99
370979,98
371480,98
371981,98
372481,97
372982,97
373483,97
373984,97
374483,97
374984,97
375485,97
375986,97
376486,97
376987,97
377488,96
377988,96
378488,96
378989,96
379490,96
379990,96
380491,96
380992,95
381493,95
381993,95
382493,95
382994,95
383495,95
383995,95
384496,95
384997,95
385497,95
385998,94
386499,94
386999,94
387499,93
388000,93
388501,93
389002,92
389502,92
390003,92
390504,92
391004,92
391504,92
392005,91
392506,91
393006,91
393507,90
394008,90
394509,90
395008,90
395509,89
396010,89
396511,89
397011,89
397512,89
398013,89
398514,89
399013,89
399514,89
400015,88
400515,88
401016,88
401517,88
402018,87
