Time,Temperature
0,28
501,27
1002,28
1503,28
2003,28
2503,29
3004,29
3504,28
4005,29
4506,29
5006,29
5506,29
6007,29
6508,29
7008,28
7508,29
8009,29
8510,28
9010,28
9510,29
10011,29
10512,29
11012,29
11513,29
12013,29
12514,29
13014,29
13515,29
14016,29
14516,29
15016,29
15517,29
16018,29
16518,30
17018,30
17519,30
18020,30
18520,30
19020,31
19521,31
20022,30
20522,30
21023,30
21523,30
22023,31
22524,31
23025,31
23526,31
24025,31
24526,32
25027,32
25528,32
26028,32
26528,32
27029,32
27530,32
28030,33
28530,32
29031,33
29531,34
30032,33
30533,35
31033,35
31533,35
32034,35
32535,35
33036,36
33535,36
34036,37
34537,37
35038,38
35538,38
36038,38
36539,38
37039,38
37540,38
38040,38
38541,39
39041,40
39542,40
40043,40
40543,40
41043,40
41544,41
42045,41
42545,42
43045,42
43546,42
44047,43
44547,43
45047,43
45548,44
46049,45
46549,45
47050,46
47550,46
48050,47
48551,46
49052,47
49553,48
50052,48
50553,48
51054,49
51555,49
52055,50
52555,50
53056,50
53557,51
54057,51
54558,52
55058,52
55558,52
56059,53
56560,54
57060,54
57560,54
58061,54
58562,55
59063,55
59563,56
60063,57
60564,57
61065,57
61565,57
62066,58
62567,59
63066,59
63567,59
64068,60
64569,61
65069,61
65570,62
66070,62
66571,62
67071,63
67572,64
68073,65
68574,65
69073,66
69574,66
70075,67
70575,67
71076,67
71577,68
72077,69
72577,69
73078,69
73579,70
74080,70
74580,70
75080,71
75581,71
76081,71
76582,72
77083,73
77584,73
78083,73
78584,74
79085,75
79586,75
80086,76
80587,76
81087,77
81588,77
82088,78
82589,78
83090,79
83590,79
84090,80
84591,80
85092,81
85592,81
86093,82
86594,83
87094,83
87594,84
88095,84
88596,84
89097,85
89597,85
90097,86
90598,86
91098,86
91599,86
92100,87
92601,88
93100,87
93601,88
94102,89
94603,89
95103,90
95604,90
96104,91
96604,91
97105,92
97606,92
98107,92
98607,93
99107,94
99608,94
100109,95
100609,95
101110,97
101611,97
102111,97
102611,97
103112,98
103613,99
104113,99
104614,100
105114,100
105615,100
106115,100
106616,100
107117,102
107618,101
108118,102
108619,102
109119,103
109620,104
110120,104
110621,104
111122,105
111622,105
112123,106
112624,106
113125,107
113624,108
114125,108
114626,108
115127,108
115627,109
116128,109
116629,109
117130,110
117629,110
118130,111
118631,111
119131,111
119632,111
120133,112
120634,112
121134,113
121634,113
122135,114
122636,114
123136,114
123637,115
124138,116
124639,116
125139,116
125639,117
126140,118
126640,118
127141,118
127642,119
128143,119
128643,119
129144,120
129644,120
130145,120
130645,121
131146,122
131647,122
132148,122
132648,122
133149,122
133649,123
134149,123
134650,124
135151,124
135652,125
136152,125
136653,125
137154,125
137654,126
138154,126
138655,127
139156,127
139657,127
140157,127
140658,128
141159,129
141658,129
142159,129
142660,130
143161,130
143661,130
144162,131
144663,132
145164,132
145664,133
146164,133
146665,133
147166,133
147666,134
148167,134
148668,134
149168,135
149669,134
150169,135
150670,135
151170,135
151671,136
152172,136
152673,136
153173,137
153674,137
154174,137
154674,138
155175,138
155676,138
156177,138
156677,138
157178,138
157679,139
158179,139
158679,140
159180,141
159681,140
160182,141
160682,141
161183,141
161684,141
162183,141
162684,143
163185,143
163686,143
164186,144
164687,144
165188,144
165689,144
166188,144
166689,146
167190,146
167691,146
168191,146
168692,146
169193,146
169694,146
170194,146
170694,147
171195,147
171695,148
172196,148
172697,148
173198,148
173698,149
174199,149
174699,149
175200,149
175700,149
176201,149
176702,150
177202,150
177703,150
178204,152
178704,152
179204,152
179705,152
180206,152
180707,152
181207,152
181708,153
182209,154
182709,154
183209,154
183710,154
184211,155
184711,154
185212,155
185713,156
186214,156
186713,156
187214,156
187715,157
188216,157
188716,157
189217,157
189718,157
190219,158
190718,157
191219,158
191720,158
192220,158
192721,158
