Time,Temperature,On Time
2510,0,22,0.0
2523,27,17,0.0
2536,27,17,0.0
2548,27,17,0.0
2561,27,17,0.0
2573,27,17,0.0
2596,27,17,0.0
2621,27,17,53.09
2646,27,17,53.09
2670,27,17,53.09
2696,27,17,53.09
2720,27,17,53.09
2746,27,17,53.81
2770,27,16,53.81
2795,27,17,53.81
2821,27,17,53.81
2845,27,19,53.81
2871,27,20,39.52
2895,27,17,39.52
2920,27,17,39.52
2946,27,16,39.52
2970,27,17,55.13
2995,27,18,55.13
3020,27,17,55.13
3045,28,19,55.13
3069,28,20,55.13
3095,28,17,55.86
3120,28,17,55.86
3145,28,17,55.86
3170,28,18,55.86
3194,28,17,55.86
3220,28,18,51.58
3245,28,20,51.58
3269,28,20,51.58
3295,28,17,51.58
3319,28,17,51.58
3345,28,17,57.32
3369,28,17,57.32
3394,28,17,57.32
3420,28,18,57.32
3444,28,19,57.32
3470,28,21,38.02
3494,28,17,38.02
3519,28,17,38.02
3545,28,17,38.02
3569,28,17,58.64
3594,28,17,58.64
3619,28,17,58.64
3644,28,20,58.64
3668,28,18,58.64
3694,28,17,59.37
3719,28,17,59.37
3744,28,17,59.37
3769,28,17,59.37
3793,28,17,59.37
3819,28,17,60.12
3844,28,19,60.12
3868,28,20,60.12
3894,28,17,60.12
3918,28,17,60.12
3944,28,17,60.86
3969,28,17,60.86
3993,28,17,60.86
4019,28,17,60.86
4043,29,19,60.86
4069,29,19,51.59
4093,29,17,51.59
4118,29,18,51.59
4144,29,17,51.59
4168,29,17,62.21
4193,29,17,62.21
4218,29,18,62.21
4243,29,19,62.21
4269,29,19,52.81
4293,29,18,52.81
4318,29,16,52.81
4343,29,17,52.81
4368,29,17,63.43
4392,29,17,63.43
4418,29,17,63.43
4443,29,18,63.43
4467,29,20,63.43
4493,29,17,64.18
4517,29,17,64.18
4543,29,17,64.18
4568,29,17,64.18
4592,29,17,64.18
4618,29,17,64.93
4642,29,21,64.93
4667,29,18,64.93
4692,29,17,64.93
4717,29,17,64.93
4743,29,18,60.67
4767,29,17,60.67
4792,29,16,60.67
4817,29,17,60.67
4842,29,20,60.67
4868,29,20,51.39
4892,29,17,51.39
4917,29,17,51.39
4942,29,17,51.39
4967,29,17,67.02
4992,29,17,67.02
5017,29,17,67.02
5042,30,21,67.02
5066,30,19,67.02
5092,30,21,47.73
5116,30,18,47.73
5142,30,17,47.73
5167,30,17,47.73
5191,30,17,47.73
5217,30,17,68.49
5241,30,20,68.49
5266,30,19,68.49
5292,30,20,68.49
5316,30,17,68.49
5342,30,17,69.25
5366,30,16,69.25
5391,30,17,69.25
5416,30,17,69.25
5441,30,20,69.25
5467,30,19,59.99
5491,30,17,59.99
5516,30,17,59.99
5541,30,17,59.99
5566,30,17,70.62
5591,30,17,70.62
5616,30,17,70.62
5641,30,21,70.62
5665,30,19,70.62
5691,30,19,61.36
5715,30,17,61.36
5741,30,17,61.36
5766,30,17,61.36
5790,30,18,61.36
5816,30,17,72.12
5840,30,19,72.12
5865,30,20,72.12
5891,30,20,72.12
5915,30,17,72.12
5941,30,17,72.89
5965,30,17,72.89
5990,30,17,72.89
6016,30,17,72.89
6040,31,20,72.89
6066,31,19,63.63
6090,31,17,63.63
6115,31,18,63.63
6140,31,17,63.63
6165,31,17,74.27
6190,31,17,74.27
6215,31,18,74.27
6240,31,19,74.27
6264,31,20,74.27
6290,31,19,65.02
6315,31,17,65.02
6340,31,18,65.02
6365,31,17,65.02
6389,31,17,65.02
6415,31,18,70.78
6439,31,19,70.78
6464,31,19,70.78
6490,31,20,70.78
6514,31,17,70.78
6540,31,17,76.55
6564,31,17,76.55
6589,31,17,76.55
6615,31,17,76.55
6639,31,20,76.55
6665,31,19,67.3
6689,31,19,67.3
6714,31,17,67.3
6739,31,17,67.3
6764,31,17,77.95
6789,31,16,77.95
6814,31,17,77.95
6839,31,19,77.95
6863,31,21,77.95
6889,31,19,68.69
6914,31,17,68.69
6939,31,18,68.69
6964,31,17,68.69
6988,31,17,68.69
7014,31,17,79.47
7038,32,20,79.47
7063,32,20,79.47
7089,32,19,79.47
7113,32,17,79.47
7139,32,17,80.25
7163,32,17,80.25
7188,32,17,80.25
7214,32,18,80.25
7238,32,19,80.25
7264,32,21,60.98
7288,32,17,60.98
7313,32,17,60.98
7339,32,17,60.98
7363,32,18,76.63
7388,32,17,76.63
7413,32,17,76.63
7438,32,20,76.63
7462,32,20,76.63
7488,32,20,67.37
7513,32,17,67.37
7538,32,18,67.37
7563,32,18,67.37
7587,32,17,67.37
7613,32,17,83.15
7638,32,19,83.15
7662,32,21,83.15
7688,32,19,83.15
7712,32,18,83.15
7738,32,18,78.92
7762,32,17,78.92
7787,32,17,78.92
7813,32,17,78.92
7837,32,19,78.92
7863,32,19,74.69
7887,32,20,74.69
7912,32,17,74.69
7938,32,17,74.69
7962,32,17,85.35
7987,32,17,85.35
8012,32,17,85.35
8037,33,19,85.35
8061,33,19,85.35
8087,33,19,76.11
8112,33,17,76.11
8137,33,17,76.11
8162,33,17,76.11
8186,33,17,76.11
8212,33,17,86.89
8237,33,19,86.89
8261,33,19,86.89
8287,33,19,86.89
8311,33,17,86.89
8337,33,17,87.68
8361,33,17,87.68
8386,33,17,87.68
8412,33,18,87.68
8436,33,20,87.68
8462,33,19,78.45
8486,33,19,78.45
8511,33,18,78.45
8537,33,18,78.45
8561,33,17,89.12
8586,33,18,89.12
8611,33,17,89.12
8636,33,19,89.12
8660,33,20,89.12
8686,33,19,79.88
8711,33,17,79.88
8736,33,18,79.88
8761,33,18,79.88
8785,33,17,79.88
8811,33,18,85.67
8836,33,21,85.67
8860,33,19,85.67
8886,33,21,85.67
8910,33,17,85.67
8936,33,18,86.45
8961,33,17,86.45
8985,33,17,86.45
9011,33,17,86.45
9035,34,20,86.45
9061,34,20,77.22
9085,34,21,77.22
9110,34,17,77.22
9136,34,18,77.22
9160,34,17,92.89
9185,34,18,92.89
9210,34,17,92.89
9235,34,21,92.89
9261,34,19,83.54
9285,34,21,83.54
9310,34,18,83.54
9335,34,18,83.54
9360,34,17,94.21
9384,34,17,94.21
9410,34,17,94.21
9435,34,20,94.21
9459,34,20,94.21
9485,34,21,74.97
9509,34,17,74.97
9535,34,18,74.97
9560,34,17,74.97
9584,34,17,74.97
9610,34,18,90.76
9634,34,20,90.76
9659,34,19,90.76
9684,34,21,90.76
9709,34,19,90.76
9735,34,18,91.55
9759,34,17,91.55
9784,34,18,91.55
9809,34,17,91.55
9834,34,19,91.55
9860,34,19,87.33
9884,34,19,87.33
9909,34,20,87.33
9934,34,18,87.33
9959,34,18,93.0
9984,34,18,93.0
10009,34,17,93.0
10035,35,21,93.0
10061,35,19,88.67
10087,35,21,88.67
10113,35,19,88.67
10139,35,18,88.67
10165,35,18,94.36
10190,35,18,94.36
10217,35,17,94.36
10243,35,19,94.36
10269,35,19,90.04
10295,35,21,90.04
10320,35,18,90.04
10347,35,18,90.04
10373,35,17,100.75
10400,35,18,100.75
10427,35,17,100.75
10454,35,20,100.75
10481,35,19,91.44
10507,35,21,91.44
10533,35,18,91.44
10559,35,18,91.44
10585,35,18,97.15
10611,35,17,97.15
10637,35,20,97.15
10663,35,20,97.15
10689,35,19,92.83
10715,35,20,92.83
10741,35,18,92.83
10767,35,17,92.83
10793,35,18,98.53
10819,35,18,98.53
10845,35,19,98.53
10871,35,20,98.53
10897,35,20,89.21
10923,35,17,89.21
10949,35,17,89.21
10975,35,18,89.21
11001,35,18,99.91
11027,36,20,99.91
11053,36,19,99.91
11079,36,19,99.91
11105,36,19,95.6
11131,36,17,95.6
11157,36,18,95.6
11183,36,18,95.6
11209,36,17,106.31
11236,36,20,106.31
11264,36,19,106.31
11290,36,20,106.31
11317,36,20,92.01
11343,36,17,92.01
11369,36,18,92.01
11396,36,17,92.01
11421,36,18,102.72
11448,36,20,102.72
11475,36,19,102.72
11502,36,19,102.72
11530,36,20,93.42
11555,36,18,93.42
11581,36,18,93.42
11608,36,17,93.42
11633,36,19,99.12
11660,36,20,99.12
11685,36,19,99.12
11711,36,19,99.12
11738,36,18,104.83
11764,36,18,104.83
11791,36,18,104.83
11819,36,18,104.83
11845,36,19,100.54
11873,36,19,100.54
11899,36,20,100.54
11927,36,20,100.54
11954,36,17,111.28
11980,36,18,111.28
12008,36,18,111.28
12035,37,19,111.28
12062,37,20,96.99
12088,37,21,96.99
12113,37,20,96.99
12140,37,18,96.99
12166,37,18,107.71
12193,37,17,107.71
12220,37,18,107.71
12247,37,21,107.71
12274,37,19,103.43
12301,37,20,103.43
12328,37,21,103.43
